"","species","SVL","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus"
"117","Anaxyrus microscaphus",66,4,6.82,1049.35490235586,35.0287412993039,31.86,"LC","ANURA","BUFONIDAE","Anaxyrus"
"118","Anaxyrus nelsoni",81.3,NA,0.159999999999997,0,36.9613043478261,36.88,"EN","ANURA","BUFONIDAE","Anaxyrus"
"119","Anaxyrus punctatus",57,3,19.54,2558.22785716012,30.6450825564417,20.55,"LC","ANURA","BUFONIDAE","Anaxyrus"
"120","Anaxyrus quercicus",25,3,12.29,1592.87609953453,31.3865502951149,24.95,"LC","ANURA","BUFONIDAE","Anaxyrus"
"121","Anaxyrus retiformis",45.3,2,4.42,588.709575955845,31.1976315789474,28.46,"LC","ANURA","BUFONIDAE","Anaxyrus"
"122","Anaxyrus speciosus",68.8,3,14.5,1713.74751398947,29.1106014517802,22.5,"LC","ANURA","BUFONIDAE","Anaxyrus"
"123","Anaxyrus terrestris",65,3,12.96,1617.87576717189,31.6437462308527,24.95,"LC","ANURA","BUFONIDAE","Anaxyrus"
"124","Anaxyrus woodhousii",90.8,NA,24.66,3365.65931459279,34.9431280445372,24.34,"LC","ANURA","BUFONIDAE","Anaxyrus"
"125","Andinobates bombetes",18,3,1.39,157.192236268253,4.33694915254237,3.67,"EN","ANURA","DENDROBATIDAE","Andinobates"
"126","Andinobates cassidyhornae",19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Andinobates daleswansoni",18.8,3,0.319999999999999,111.323871569685,5.348,5.19,"VU","ANURA","DENDROBATIDAE","Andinobates"
"128","Andinobates dorisswansonae",17.5,3,0.0600000000000005,0,5,4.97,"VU","ANURA","DENDROBATIDAE","Andinobates"
"129","Andinobates fulguritus",15,3,5.82,647.96594897958,5.61872549019608,3.61,"LC","ANURA","DENDROBATIDAE","Andinobates"
"130","Andinobates tolimensis",18.2,1,0.0600000000000005,0,5.00083333333333,4.97,"VU","ANURA","DENDROBATIDAE","Andinobates"
"131","Andinobates virolinensis",16.8,3,1.25,248.653019600888,6.09238095238095,5.49,"EN","ANURA","DENDROBATIDAE","Andinobates"
"132","Anhydrophryne ngongoniensis",18,1,0.66,111.323871569685,-30.2888888888889,-30.63,"EN","ANURA","PYXICEPHALIDAE","Anhydrophryne"
"133","Anhydrophryne rattrayi",22,1,1.54,357.771259462652,-32.6875757575758,-33.61,"VU","ANURA","PYXICEPHALIDAE","Anhydrophryne"
"134","Anodonthyla boulengerii",21,NA,9.66,1156.47642158225,-16.8297982708934,-24.93,NA,NA,NA,NA
"135","Anodonthyla montana",33,3,0.329999999999998,0,-22.2265217391304,-22.38,"VU","ANURA","MICROHYLIDAE","Anodonthyla"
"136","Anodonthyla moramora",15.5,3,0.359999999999999,103.929618083851,-21.2202590673575,-21.4,"EN","ANURA","MICROHYLIDAE","Anodonthyla"
"137","Anodonthyla nigrigularis",22.5,3,0.649999999999999,111.323871569726,-24.7451149425287,-25.04,"EN","ANURA","MICROHYLIDAE","Anodonthyla"
"138","Anodonthyla rouxae",26.4,1,0.130000000000003,0,-24.035,-24.1,"EN","ANURA","MICROHYLIDAE","Anodonthyla"
"139","Anomaloglossus moffetti",26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Anomaloglossus parkerae",21.7,3,0.32,110.714012399039,6.1,5.96,"DD","ANURA","AROMOBATIDAE","Anomaloglossus"
"141","Anomaloglossus roraima",17.8,NA,0.18,0,5.205,5.11,"DD","ANURA","AROMOBATIDAE","Anomaloglossus"
"142","Anomaloglossus stepheni",18,3,1.77,314.767541982998,-2.13620689655172,-2.97,"LC","ANURA","AROMOBATIDAE","Anomaloglossus"
"143","Anotheca spinosa",71.5,1,9.92,1998.80584099091,14.3890635451505,8.55,"LC","ANURA","HYLIDAE","Anotheca"
"144","Ansonia endauensis",23,NA,0.0499999999999998,111.323871569726,2.52428571428571,2.5,"DD","ANURA","BUFONIDAE","Ansonia"
"145","Ansonia inthanon",23.7,1,4.28,457.838165572869,15.2493984962406,14.79,"DD","ANURA","BUFONIDAE","Ansonia"
"146","Ansonia jeetsukumarani",22.6,1,1.74,111.323871569685,4.5648,3.72,"DD","ANURA","BUFONIDAE","Ansonia"
"147","Ansonia latirostra",27.1,4,0.11,111.052685354841,3.854375,3.79,"DD","ANURA","BUFONIDAE","Ansonia"
"148","Ansonia thinthinae",28.8,NA,0.23,0,14.6910655737705,14.59,"EN","ANURA","BUFONIDAE","Ansonia"
"149","Aplastodiscus callipygius",45.5,3,1.11,204.946739448725,-22.8087719298246,-23.4,"LC","ANURA","HYLIDAE","Aplastodiscus"
"150","Aplastodiscus leucopygius",40,4,3.68,932.61000905129,-23.1556088560886,-24.84,"LC","ANURA","HYLIDAE","Aplastodiscus"
"151","Arenophryne rotunda",29.8,3,2.19,348.509225574853,-26.3352006420546,-27.68,"LC","ANURA","MYOBATRACHIDAE","Arenophryne"
"152","Argenteohyla siemersi",70,1,7.45,914.686182152797,-33.7366730038023,-34.71,"EN","ANURA","HYLIDAE","Argenteohyla"
"153","Arlequinus krebsi",27.5,1,0.989999999999999,157.192236268224,4.56833333333333,4.07,"EN","ANURA","HYPEROLIIDAE","Arlequinus"
"154","Aromobates nocturnus",62,1,0.209999999999999,9.50453877449036e-05,9.68529411764706,9.58,"CR","ANURA","AROMOBATIDAE","Aromobates"
"155","Arthroleptella drewesii",15,1,0.0799999999999983,0,-34.37,-34.4,"NT","ANURA","PYXICEPHALIDAE","Arthroleptella"
"156","Arthroleptella landdrosia",15,1,0.530000000000001,0,-34.1937704918033,-34.39,"NT","ANURA","PYXICEPHALIDAE","Arthroleptella"
"157","Arthroleptella lightfooti",19,3,0.439999999999998,0.000134414476389852,-34.1660256410256,-34.36,"NT","ANURA","PYXICEPHALIDAE","Arthroleptella"
"158","Arthroleptides martiensseni",65.3,3,0.41,0,-4.95864485981308,-5.16,"EN","ANURA","PETROPEDETIDAE","Arthroleptides"
"159","Arthroleptides yakusini",70.5,3,3.06,400.315747510062,-7.63966666666667,-9.05,"EN","ANURA","PETROPEDETIDAE","Arthroleptides"
"160","Arthroleptis adelphus",33.1,3,7.33,1025.9353938561,1.60205493387589,-1.51,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"161","Arthroleptis adolfifriederici",36.9,4,2.83,401.252239761709,-2.1930612244898,-3.87,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"162","Arthroleptis affinis",36.4,4,1.08,156.572398653226,-8.01875,-8.66,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"163","Arthroleptis brevipes",29.075,3,0.0599999999999996,111.323871569685,7.52666666666667,7.49,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"164","Arthroleptis crusculum",20,4,1.54,398.668320738497,7.74039215686274,7.39,"NT","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"165","Arthroleptis fichika",13.9,NA,0.04,110.900239936253,-4.83,-4.85,"EN","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"166","Arthroleptis francei",34.37,3,0.729999999999999,241.708496684301,-15.8324468085106,-16.06,"VU","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"167","Arthroleptis hematogaster",15.6,NA,2.38,222.647743139386,-4.035625,-5.25,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"168","Arthroleptis kidogo",14,3,0.0899999999999999,0.000134414476389852,-6.05611111111111,-6.1,"CR","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"169","Arthroleptis lameerei",27.725,3,10.48,1932.5869723267,-8.16309523809524,-13.61,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"170","Arthroleptis langeri",16.2,NA,0.04,9.50453877449036e-05,7.40857142857143,7.39,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"171","Arthroleptis nikeae",54.05,1,0.0100000000000007,9.50453877449036e-05,-6.93666666666667,-6.94,"CR","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"172","Arthroleptis nimbaensis",19.26,NA,0.0900000000000007,0,7.64461538461538,7.6,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"173","Arthroleptis nlonakoensis",19.3,NA,0.0200000000000005,9.50453877449036e-05,4.86142857142857,4.85,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"174","Arthroleptis palava",25.2,NA,1.54,349.996391039944,6.36866666666667,5.81,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"175","Arthroleptis poecilonotus",31,3,16.51,5223.45025261529,5.71965575146935,-4.6,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"176","Arthroleptis pyrrhoscelis",19.32,3,3.09,333.97161470908,-3.23054054054054,-5.23,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"177","Arthroleptis reichei",26.245,3,1.37,248.442481839681,-7.98027072758037,-8.7,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"178","Arthroleptis schubotzi",19.35,3,10.56,1243.71312114317,-2.91638554216867,-9.25,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"179","Arthroleptis stenodactylus",44,3,25.77,3015.74023623315,-15.247810320781,-29.02,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"180","Arthroleptis stridens",18.5,NA,0.04,0,-5.01,-5.03,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"181","Arthroleptis sylvaticus",21.9,4,10.38,2398.13224082041,0.544875100725222,-4.68,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"182","Arthroleptis taeniatus",21.665,4,11.11,1394.38015214804,0.0880213464696223,-5.57,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"183","Arthroleptis tanneri",44.185,NA,0.350000000000001,110.900239936253,-4.75173076923077,-4.94,"EN","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"184","Arthroleptis troglodytes",25,1,0.0599999999999987,0,-19.78,-19.81,"CR","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"185","Arthroleptis tuberosus",24.3,NA,10.42,2379.36505473016,0.485440900562852,-4.41,"DD","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"186","Arthroleptis variabilis",42,3,12.6,4582.0288310484,2.93767695783133,-4.69,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"187","Arthroleptis wahlbergii",22,4,4.96,678.107918946345,-29.6691686460808,-31.86,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"188","Arthroleptis xenochirus",19,4,6.36,1909.70545057173,-10.3112,-13.71,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"189","Arthroleptis xenodactyloides",27,4,16.46,1968.34668256654,-9.42590566037736,-20.58,"LC","ANURA","ARTHROLEPTIDAE","Arthroleptis"
"190","Arthroleptis xenodactylus",16.21,3,0.42,0,-4.98142857142857,-5.18,"EN","ANURA","ARTHROLEPTIDAE","Arthroleptis"
