species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Scapherpeton tectum,45238,Fossilworks,J. Alroy,NA,5929,5929,79.2,79,79.1,"current ripples,medium,pebbly,intraclastic",silty,NA,NA,NA,sandstone,current signs,sandstone,NA,459310,66,Campanian,no,longer,60.67493085,-65.53977129,50.736988,-111.494648,53,10,sandstone,medium 2,81,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47811,PaleoDB,R. Whatley,NA,5929,5929,79.7,79,79.35,"very fine,fine","silty,carbonaceous",NA,NA,NA,sandstone,NA,sandstone,NA,479645,66,Campanian,no,longer,60.69041002,-65.54253178,50.750424,-111.506981,53,10,sandstone,medium 1,84,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,22695,ETE,A. Behrensmeyer,NA,5929,5929,79.7,79,79.35,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,220117,66,Campanian,no,longer,60.66523229,-65.41215611,50.754801,-111.398721,53,10,sandstone,medium 1,93,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14458,Fossilworks,J. Alroy,NA,13103,2237,75.5,75.3,75.4,"ferruginous,pebbly",NA,argillaceous,"""cross stratification"",yellow",sandstone,sandstone,current signs,sandstone,NA,480364,66,Campanian,no,longer,52.2963171,-66.36941035,42.8544,-107.2781,53,10,sandstone,medium 2,108,4,n,123,130 vertebrae; 2 dentaries,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45894,ETE,M. Carrano,NA,11964,11964,80.9,76.2,78.55,lenticular,"argillaceous,silty,carbonaceous","argillaceous,sandy,carbonaceous",NA,siltstone,sandstone,NA,sandstone,NA,464691,66,Campanian,no,longer,59.57417623,-65.44455461,49.75844,-110.702822,53,10,sandstone,medium 1,119,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34307,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362344,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,122,2,n,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45897,ETE,M. Carrano,NA,11964,11964,78.8,78.6,78.7,NA,"argillaceous,sandy",NA,NA,NA,siltstone,NA,siltstone,NA,464737,66,Campanian,no,longer,59.061822,-65.94188478,49.187007,-110.732347,53,10,siltstone,medium 1,129,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47793,PaleoDB,R. Whatley,NA,5929,16643,79.7,79,79.35,"planar lamination,fine,medium",silty,carbonaceous,lenticular,mudstone,sandstone,NA,sandstone,NA,479449,66,Campanian,no,longer,60.67826222,-65.49144488,50.750067,-111.463035,53,10,sandstone,medium 1,130,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34305,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362170,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,136,2,n,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45820,ETE,M. Carrano,NA,11964,11964,81.3,76.2,78.75,"lenticular,current ripples",NA,NA,fine,sandstone,sandstone,current signs,sandstone,NA,463858,66,Campanian,no,longer,59.04820723,-66.11565172,49.137969,-110.848456,53,10,sandstone,medium 2,138,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34320,Fossilworks,J. Alroy,NA,9017,9017,79.7,79.5,79.6,pebbly,NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362783,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,144,2,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45145,ETE,M. Carrano,NA,11749,11749,66.9,66.7,66.8,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458272,67,Maastrichtian,no,longer,56.43641776,-62.08160622,46.334,-103.8979,53,10,sandstone,medium 1,144,3,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,47809,PaleoDB,R. Whatley,NA,5929,5929,79.2,79,79.1,"planar lamination,fine,medium",NA,carbonaceous,planar lamination,siltstone,sandstone,NA,sandstone,NA,479615,66,Campanian,no,longer,60.70815301,-65.54961815,50.765008,-111.52387,53,10,sandstone,medium 1,145,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45565,ETE,M. Carrano,NA,11964,11964,81.3,76.2,78.75,current ripples,silty,NA,NA,NA,sandstone,NA,sandstone,NA,461856,66,Campanian,no,longer,59.83927408,-65.53514585,49.98024,-110.938988,53,10,sandstone,medium 2,166,1,y,NA,peng 2001 missing,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,22697,ETE,A. Behrensmeyer,NA,5929,16643,79.7,79.5,79.6,current ripples,NA,NA,NA,NA,sandstone,current signs,sandstone,NA,480287,66,Campanian,no,longer,60.77726811,-65.63722308,50.809347,-111.631664,53,10,sandstone,medium 2,183,1,y,119,info missing in reference,Scapherpeton,Scapherpetontidae
